"starch","glycerol","glucose","fructose","citrate","butyrate","ascorbic","acetate","rep_1","rep_2","rep_3","mean","sd"
1,1,0,1,1,0,0,0,0.0691404767873086,0.0671097335289843,0.0646313031695173,0.0669605044952701,0.00225828777112743
1,1,0,1,1,0,0,1,0.0628151350414497,0.0548581811111316,0.0766225550925694,0.0647652904150502,0.0110124621764099
1,1,0,1,1,0,1,0,0.0639657858145708,0.064349687621822,0.0670631029433978,0.0651261921265968,0.00168836097549754
1,1,0,1,1,0,1,1,0.0614796336944592,0.0588821204109151,0.0766240659301609,0.0656619400118451,0.0095819059847875
1,1,0,1,1,1,0,0,0.0602463008014386,0.0577358642008003,0.060838981766895,0.0596070489230447,0.00164736665022515
1,1,0,1,1,1,0,1,0.0616754644307596,0.0637075485107666,0.074613829934694,0.0666656142920734,0.0069579408127156
1,1,0,1,1,1,1,0,0.0634258413108213,0.065557103191185,0.0575926561297637,0.0621918668772567,0.0041231206537723
1,1,0,1,1,1,1,1,0.0642481560183475,0.0600300679427823,0.0717608448536158,0.0653463562715819,0.00594199584147355
1,1,1,0,0,0,0,0,0.0458833226997466,0.0462530574132895,0.047077064913225,0.0464044816754204,0.000611107272442026
1,1,1,0,0,0,0,1,0.0469981176430663,0.0419219130098099,0.057944032483948,0.0489546877122747,0.00818829670552312
1,1,1,0,0,0,1,0,0.0447907554580544,0.0466095248747253,0.0468035292014532,0.046067936511411,0.00111031662240418
